01 Mar 2021 18:19:23 MSK |   192.168.0.107 |     105.332µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:23 MSK |   192.168.0.107 |     516.069µs | 200 | [GET]     | / 
01 Mar 2021 18:19:25 MSK |   192.168.0.107 |       7.386µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:25 MSK |   192.168.0.107 |       8.194µs | 404 | [GET]     | /favicon.ico 
01 Mar 2021 18:19:27 MSK |   192.168.0.107 |      10.679µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:31 MSK |   192.168.0.107 |       9.151µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:38 MSK |             ::1 |       4.398µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:39 MSK |             ::1 |     141.432µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:41 MSK |             ::1 |     105.937µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:41 MSK |             ::1 |      83.508µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:45 MSK |   192.168.0.107 |        8.42µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:47 MSK |   192.168.0.107 |        6.69µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:48 MSK |             ::1 |      97.707µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:49 MSK |   192.168.0.107 |        6.66µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:50 MSK |   192.168.0.107 |      39.671µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:51 MSK |   192.168.0.107 |       9.091µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:52 MSK |             ::1 |      88.884µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:53 MSK |             ::1 |      64.614µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:53 MSK |             ::1 |      95.363µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:54 MSK |             ::1 |      88.533µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:54 MSK |             ::1 |     101.114µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:54 MSK |             ::1 |     158.828µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:54 MSK |             ::1 |     118.404µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:54 MSK |             ::1 |      64.844µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:55 MSK |             ::1 |      136.23µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:55 MSK |   192.168.0.107 |       7.954µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:55 MSK |             ::1 |     107.742µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:55 MSK |             ::1 |      84.685µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:55 MSK |             ::1 |     119.352µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:55 MSK |             ::1 |      85.538µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:56 MSK |             ::1 |      79.508µs | 200 | [GET]     | /metrics 
